Название,Континент,Регион,Площадь
Aruba,North America,Caribbean,193
Afghanistan,Asia,Southern and Central Asia,652090
Angola,Africa,Central Africa,1246700
Anguilla,North America,Caribbean,96
Albania,Europe,Southern Europe,28748
Andorra,Europe,Southern Europe,468
Netherlands Antilles,North America,Caribbean,800
united Arab Emirates,Asia,Middle East,83600
Argentina,South America,South America,2780400
Armenia,Asia,Middle East,29800
American Samoa,Oceania,Polynesia,199
Antarctica,Antarctica,Antarctica,13120000
French Southern territories,Antarctica,Antarctica,7780
Antigua and Barbuda,North America,Caribbean,442
Australia,Oceania,Australia and New Zealand,7741220